timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.421875,0,64,0.158203,0.390625
1,2,0.46875,0,102,0.191406,0.427734
1,3,0.515625,0,58,0.208984,0.470703
1,4,0.421875,0.125003,76,0.158203,0.390625
1,5,0.46875,0.125003,114,0.175781,0.435547
1,6,0.515625,0.125003,62,0.193359,0.478516
1,7,0.421875,-0.250007,62,0.171875,0.384766
1,8,0.46875,-0.250007,96,0.191406,0.427734
1,9,0.515625,-0.250007,56,0.226562,0.462891
1,10,0.421875,-0.125003,181,0.158203,0.390625
1,11,0.46875,-0.125003,281,0.175781,0.435547
1,12,0.515625,-0.125003,159,0.193359,0.478516
1,13,0.5625,-0.125003,24,0.228516,0.513672
2,1,0.421875,0,64,0.158203,0.390625
2,2,0.46875,0,102,0.191406,0.427734
2,3,0.515625,0,58,0.208984,0.470703
2,4,0.421875,0.125003,76,0.158203,0.390625
2,5,0.46875,0.125003,114,0.175781,0.435547
2,6,0.515625,0.125003,62,0.193359,0.478516
2,7,0.421875,-0.250007,62,0.171875,0.384766
2,8,0.46875,-0.250007,96,0.191406,0.427734
2,9,0.515625,-0.250007,56,0.226562,0.462891
2,10,0.421875,-0.125003,181,0.158203,0.390625
2,11,0.46875,-0.125003,281,0.175781,0.435547
2,12,0.515625,-0.125003,159,0.193359,0.478516
2,13,0.5625,-0.125003,24,0.228516,0.513672
3,1,0.375,0,106,0.140625,0.347656
3,2,0.421875,0,434,0.158203,0.390625
3,3,0.46875,0,556,0.175781,0.435547
3,4,0.515625,0,253,0.193359,0.478516
3,5,0.5625,0,21,0.210938,0.521484
3,6,0.375,-0.250007,94,0.152344,0.341797
3,7,0.421875,-0.250007,382,0.171875,0.384766
3,8,0.46875,-0.250007,488,0.191406,0.427734
3,9,0.515625,-0.250007,223,0.208984,0.470703
3,10,0.5625,-0.250007,20,0.228516,0.513672
3,11,0.375,-0.125003,201,0.140625,0.347656
3,12,0.421875,-0.125003,817,0.158203,0.390625
3,13,0.46875,-0.125003,1046,0.175781,0.435547
3,14,0.515625,-0.125003,478,0.193359,0.478516
3,15,0.5625,-0.125003,43,0.210938,0.521484
3,16,0.5625,0,15,0,0.5625
3,17,0.5625,-0.250007,16,0.017578,0.5625
4,1,0.421875,0,125,0.144531,0.396484
4,2,0.46875,0,162,0.162109,0.439453
4,3,0.515625,0,79,0.177734,0.484375
4,4,0.5625,0,14,0.193359,0.527344
4,5,0.375,-0.37501,199,0.140625,0.347656
4,6,0.421875,-0.37501,638,0.158203,0.390625
4,7,0.46875,-0.37501,705,0.175781,0.435547
4,8,0.515625,-0.37501,276,0.193359,0.478516
4,9,0.375,-0.250007,351,0.140625,0.347656
4,10,0.421875,-0.250007,1121,0.158203,0.390625
4,11,0.46875,-0.250007,1230,0.175781,0.435547
4,12,0.515625,-0.250007,472,0.193359,0.478516
4,13,0.5625,-0.250007,31,-0.017578,0.5625
4,14,0.375,-0.125003,200,0.128906,0.351562
4,15,0.421875,-0.125003,646,0.144531,0.396484
4,16,0.46875,-0.125003,716,0.162109,0.439453
4,17,0.515625,-0.125003,279,0.177734,0.484375
4,18,0.5625,-0.125003,28,0.175781,0.535156
4,19,0.609375,-0.125003,41,0.152344,0.589844
4,20,0.5625,0,13,-0.017578,0.5625
4,21,0.5625,-0.250007,25,0.193359,0.527344
4,22,0.5625,-0.125003,28,-0.035156,0.560547
5,1,0.421875,0,145,0.144531,0.396484
5,2,0.46875,0,133,0.146484,0.445312
5,3,0.328125,-0.625017,33,0.113281,0.308594
5,4,0.375,-0.625017,282,0.128906,0.351562
5,5,0.421875,-0.625017,601,0.144531,0.396484
5,6,0.46875,-0.625017,487,0.146484,0.445312
5,7,0.515625,-0.625017,142,0.162109,0.490234
5,8,0.328125,-0.500013,75,0.123047,0.304688
5,9,0.375,-0.500013,742,0.140625,0.347656
5,10,0.421875,-0.500013,1680,0.158203,0.390625
5,11,0.46875,-0.500013,1422,0.162109,0.439453
5,12,0.515625,-0.500013,432,0.177734,0.484375
5,13,0.5625,-0.500013,30,0.193359,0.527344
5,14,0.328125,-0.37501,56,0.103516,0.3125
5,15,0.375,-0.37501,588,0.128906,0.351562
5,16,0.421875,-0.37501,1369,0.144531,0.396484
5,17,0.46875,-0.37501,1179,0.162109,0.439453
5,18,0.515625,-0.37501,359,0.162109,0.490234
5,19,0.375,-0.250007,95,0.128906,0.351562
5,20,0.421875,-0.250007,231,0.144531,0.396484
5,21,0.46875,-0.250007,209,0.162109,0.439453
5,22,0.515625,-0.250007,69,0.177734,0.484375
5,23,0.609375,-0.250007,29,0.171875,0.583984
5,24,0.5625,-0.125003,23,0.140625,0.544922
5,25,0.609375,-0.125003,70,0.132812,0.59375
5,26,0.609375,0,18,0.152344,0.589844
6,1,0.328125,0.875023,50,0.091797,0.314453
6,2,0.375,0.875023,212,0.105469,0.359375
6,3,0.421875,0.875023,286,0.119141,0.404297
6,4,0.46875,0.875023,142,0.132812,0.449219
6,5,0.328125,-1.000027,231,0.144531,0.294922
6,6,0.375,-1.000027,835,0.164062,0.337891
6,7,0.421875,-1.000027,1007,0.185547,0.378906
6,8,0.46875,-1.000027,440,0.205078,0.421875
6,9,0.515625,-1.000027,40,0.226562,0.462891
6,10,0.328125,-0.875023,422,0.132812,0.300781
6,11,0.375,-0.875023,1516,0.152344,0.341797
6,12,0.421875,-0.875023,1828,0.158203,0.390625
6,13,0.46875,-0.875023,802,0.175781,0.435547
6,14,0.515625,-0.875023,83,0.177734,0.484375
6,15,0.328125,-0.75002,351,0.123047,0.304688
6,16,0.375,-0.75002,1369,0.140625,0.347656
6,17,0.421875,-0.75002,1724,0.158203,0.390625
6,18,0.46875,-0.75002,786,0.175781,0.435547
6,19,0.515625,-0.75002,88,0.177734,0.484375
6,20,0.328125,-0.625017,168,0.103516,0.3125
6,21,0.375,-0.625017,706,0.117188,0.355469
6,22,0.421875,-0.625017,928,0.132812,0.400391
6,23,0.46875,-0.625017,439,0.146484,0.445312
6,24,0.515625,-0.625017,51,0.144531,0.494141
6,25,0.375,-0.500013,150,0.117188,0.355469
6,26,0.421875,-0.500013,201,0.132812,0.400391
6,27,0.46875,-0.500013,95,0.146484,0.445312
6,28,0.515625,-0.500013,17,0.162109,0.490234
6,29,0.5625,-0.500013,19,0.193359,0.527344
6,30,0.609375,-0.500013,29,0.208984,0.572266
6,31,0.515625,-0.37501,27,0.144531,0.494141
6,32,0.5625,-0.37501,24,0.140625,0.544922
6,33,0.609375,-0.37501,17,0.191406,0.578125
6,34,0.5625,-0.250007,23,-0.017578,0.5625
6,35,0.609375,-0.250007,26,0.115234,0.599609
6,36,0.5625,-0.125003,32,0.017578,0.5625
6,37,0.515625,-0.500013,16,-0.015625,0.515625
6,38,0.5625,-0.500013,17,-0.017578,0.5625
6,39,0.5625,-0.250007,22,0.175781,0.535156
6,40,0.609375,-0.250007,20,-0.171875,0.583984
7,1,0.28125,0.625017,82,0.080078,0.269531
7,2,0.328125,0.625017,398,0.091797,0.314453
7,3,0.375,0.625017,579,0.105469,0.359375
7,4,0.421875,0.625017,307,0.119141,0.404297
7,5,0.46875,0.625017,41,0.117188,0.453125
7,6,0.28125,0.75002,73,0.080078,0.269531
7,7,0.328125,0.75002,447,0.091797,0.314453
7,8,0.375,0.75002,697,0.09375,0.363281
7,9,0.421875,0.75002,387,0.105469,0.408203
7,10,0.46875,0.75002,57,0.103516,0.457031
7,11,0.28125,0.875023,81,0.0625,0.275391
7,12,0.328125,0.875023,417,0.072266,0.320312
7,13,0.375,0.875023,646,0.070312,0.369141
7,14,0.421875,0.875023,383,0.080078,0.414062
