timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.562500,0.125003,17.000000,-0.140625,0.544922
1,2,0.515625,-0.125003,17.000000,-0.128906,0.500000
1,3,0.562500,-0.125003,17.000000,-0.140625,0.544922
2,1,0.562500,0.125003,17.000000,-0.140625,0.544922
2,2,0.515625,-0.125003,17.000000,-0.128906,0.500000
2,3,0.562500,-0.125003,17.000000,-0.140625,0.544922
3,1,0.515625,0.125003,22.000000,-0.128906,0.500000
3,2,0.562500,0.125003,23.000000,-0.140625,0.544922
3,3,0.515625,-0.125003,23.000000,-0.128906,0.500000
3,4,0.562500,-0.125003,23.000000,-0.140625,0.544922
4,1,0.515625,0.125003,22.000000,-0.128906,0.500000
4,2,0.562500,0.125003,23.000000,-0.140625,0.544922
4,3,0.515625,-0.125003,23.000000,-0.128906,0.500000
4,4,0.562500,-0.125003,23.000000,-0.140625,0.544922
5,1,0.515625,0.125003,22.000000,-0.128906,0.500000
5,2,0.562500,0.125003,23.000000,-0.140625,0.544922
5,3,0.515625,-0.125003,23.000000,-0.128906,0.500000
5,4,0.562500,-0.125003,23.000000,-0.140625,0.544922
6,1,0.562500,0.125003,17.000000,-0.140625,0.544922
6,2,0.515625,-0.125003,19.000000,-0.128906,0.500000
6,3,0.562500,-0.125003,17.000000,-0.140625,0.544922
7,1,0.562500,0.125003,17.000000,-0.140625,0.544922
7,2,0.515625,-0.125003,19.000000,-0.128906,0.500000
7,3,0.562500,-0.125003,17.000000,-0.140625,0.544922
8,1,0.515625,0.125003,30.000000,-0.128906,0.500000
8,2,0.562500,0.125003,28.000000,-0.140625,0.544922
8,3,0.515625,-0.125003,29.000000,-0.128906,0.500000
8,4,0.562500,-0.125003,28.000000,-0.140625,0.544922
9,1,0.515625,0.125003,30.000000,-0.128906,0.500000
9,2,0.562500,0.125003,28.000000,-0.140625,0.544922
9,3,0.515625,-0.125003,29.000000,-0.128906,0.500000
9,4,0.562500,-0.125003,28.000000,-0.140625,0.544922
