timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.5625,0,98,0,0.5625
1,2,0.5625,0.125003,211,0,0.5625
1,3,0.5625,0.250007,68,-0.017578,0.5625
1,4,0.5625,-0.250007,121,0.017578,0.5625
1,5,0.5625,-0.125003,361,0,0.5625
1,6,0.609375,0.250007,18,0.152344,0.589844
2,1,0.5625,0,98,0,0.5625
2,2,0.5625,0.125003,211,0,0.5625
2,3,0.5625,0.250007,68,-0.017578,0.5625
2,4,0.5625,-0.250007,121,0.017578,0.5625
2,5,0.5625,-0.125003,361,0,0.5625
2,6,0.609375,0.250007,18,0.152344,0.589844
3,1,0.5625,0,16,0,0.5625
4,1,0.5625,0,40,0,0.5625
4,2,0.5625,0.125003,218,0,0.5625
4,3,0.5625,0.250007,76,0,0.5625
4,4,0.5625,-0.250007,46,0.017578,0.5625
4,5,0.5625,-0.125003,149,0,0.5625
4,6,0.65625,-0.250007,22,0.267578,0.599609
5,1,0.5625,0,31,0,0.5625
5,2,0.5625,0.125003,134,0,0.5625
5,3,0.5625,0.250007,47,0,0.5625
5,4,0.5625,-0.250007,27,0.017578,0.5625
5,5,0.5625,-0.125003,90,0,0.5625
6,1,0.5625,0,31,0,0.5625
6,2,0.5625,0.125003,134,0,0.5625
6,3,0.5625,0.250007,47,0,0.5625
6,4,0.5625,-0.250007,27,0.017578,0.5625
6,5,0.5625,-0.125003,90,0,0.5625
7,1,0.5625,0.125003,64,0.017578,0.5625
7,2,0.5625,-0.125003,80,0,0.5625
8,1,0.5625,0.125003,64,0.017578,0.5625
8,2,0.5625,-0.125003,80,0,0.5625
9,1,0.515625,0,173,-0.048828,0.513672
9,2,0.5625,0,147,-0.052734,0.560547
9,3,0.515625,0.125003,129,-0.033203,0.515625
9,4,0.5625,0.125003,93,-0.035156,0.560547
9,5,0.515625,-0.250007,151,-0.033203,0.515625
9,6,0.5625,-0.250007,124,-0.035156,0.560547
9,7,0.515625,-0.125003,408,-0.048828,0.513672
9,8,0.5625,-0.125003,328,-0.052734,0.560547
10,1,0.46875,0,235,-0.029297,0.46875
10,2,0.515625,0,518,-0.033203,0.515625
10,3,0.5625,0,417,-0.052734,0.560547
10,4,0.5625,0.125003,34,-0.035156,0.560547
10,5,0.515625,-0.250007,457,-0.015625,0.515625
10,6,0.5625,-0.250007,376,-0.035156,0.560547
10,7,0.515625,-0.125003,983,-0.048828,0.513672
10,8,0.5625,-0.125003,792,-0.052734,0.560547
11,1,0.46875,0,373,0,0.46875
11,2,0.515625,0,1067,0,0.515625
11,3,0.5625,0,1032,0,0.5625
11,4,0.5625,0.125003,64,-0.017578,0.5625
11,5,0.515625,-0.37501,82,0,0.515625
11,6,0.5625,-0.37501,74,0,0.5625
11,7,0.515625,-0.250007,1076,0.015625,0.515625
11,8,0.5625,-0.250007,1041,0.017578,0.5625
11,9,0.46875,-0.125003,696,0,0.46875
11,10,0.515625,-0.125003,1988,0,0.515625
11,11,0.5625,-0.125003,1925,0,0.5625
11,12,0.65625,-0.125003,63,0.287109,0.589844
12,1,0.46875,0,402,0,0.46875
12,2,0.515625,0,845,0,0.515625
12,3,0.5625,0,652,0,0.5625
12,4,0.5625,0.125003,96,0,0.5625
12,5,0.46875,-0.37501,123,0.015625,0.46875
12,6,0.515625,-0.37501,298,0.015625,0.515625
12,7,0.5625,-0.37501,258,0.017578,0.5625
12,8,0.46875,-0.250007,606,0.015625,0.46875
12,9,0.515625,-0.250007,1349,0.015625,0.515625
12,10,0.5625,-0.250007,1099,0.017578,0.5625
12,11,0.46875,-0.125003,843,0,0.46875
12,12,0.515625,-0.125003,1801,0,0.515625
12,13,0.5625,-0.125003,1418,0,0.5625
13,1,0.515625,0,221,-0.015625,0.515625
13,2,0.5625,0,132,-0.035156,0.560547
13,3,0.5625,0.125003,52,-0.035156,0.560547
13,4,0.421875,-0.500013,38,-0.013672,0.421875
13,5,0.46875,-0.500013,196,-0.015625,0.46875
13,6,0.515625,-0.500013,296,-0.015625,0.515625
13,7,0.5625,-0.500013,165,-0.017578,0.5625
13,8,0.421875,-0.37501,128,-0.013672,0.421875
13,9,0.46875,-0.37501,706,-0.015625,0.46875
13,10,0.515625,-0.37501,1115,-0.015625,0.515625
13,11,0.5625,-0.37501,646,-0.017578,0.5625
13,12,0.46875,-0.250007,682,0,0.46875
13,13,0.515625,-0.250007,1088,-0.015625,0.515625
13,14,0.5625,-0.250007,637,-0.017578,0.5625
13,15,0.5625,-0.125003,144,-0.035156,0.560547
14,1,0.421875,-0.625017,186,-0.039062,0.419922
14,2,0.46875,-0.625017,383,-0.074219,0.462891
14,3,0.515625,-0.625017,374,0.064453,0.511719
14,4,0.5625,-0.625017,259,0.035156,0.560547
14,5,0.421875,-0.500013,289,-0.027344,0.421875
14,6,0.46875,-0.500013,598,-0.058594,0.464844
14,7,0.515625,-0.500013,630,0.080078,0.509766
14,8,0.5625,-0.500013,444,0.052734,0.560547
14,9,0.421875,-0.37501,208,-0.027344,0.421875
14,10,0.46875,-0.37501,357,-0.058594,0.464844
14,11,0.515625,-0.37501,371,0.048828,0.513672
14,12,0.5625,-0.37501,252,0.035156,0.560547
14,13,0.515625,-0.625017,328,-0.097656,0.505859
14,14,0.515625,-0.500013,573,-0.097656,0.505859
14,15,0.515625,-0.37501,289,-0.113281,0.503906
15,1,0.375,-0.875023,31,0.011719,0.375
15,2,0.421875,-0.875023,148,0.013672,0.421875
15,3,0.46875,-0.875023,229,0.015625,0.46875
15,4,0.515625,-0.875023,138,0.015625,0.515625
15,5,0.5625,-0.875023,24,0.017578,0.5625
15,6,0.375,-0.75002,74,0.011719,0.375
15,7,0.421875,-0.75002,396,0.013672,0.421875
15,8,0.46875,-0.75002,717,0.015625,0.46875
15,9,0.515625,-0.75002,507,0.015625,0.515625
15,10,0.5625,-0.75002,113,0,0.5625
15,11,0.421875,-0.625017,619,-0.013672,0.421875
15,12,0.46875,-0.625017,1348,-0.015625,0.46875
15,13,0.515625,-0.625017,1054,0,0.515625
15,14,0.5625,-0.625017,253,-0.017578,0.5625
15,15,0.421875,-0.500013,407,-0.013672,0.421875
16,1,0.375,-0.875023,31,0.011719,0.375
16,2,0.421875,-0.875023,148,0.013672,0.421875
16,3,0.46875,-0.875023,229,0.015625,0.46875
16,4,0.515625,-0.875023,138,0.015625,0.515625
16,5,0.5625,-0.875023,24,0.017578,0.5625
16,6,0.375,-0.75002,74,0.011719,0.375
16,7,0.421875,-0.75002,396,0.013672,0.421875
16,8,0.46875,-0.75002,717,0.015625,0.46875
16,9,0.515625,-0.75002,507,0.015625,0.515625
16,10,0.5625,-0.75002,113,0,0.5625
16,11,0.421875,-0.625017,619,-0.013672,0.421875
16,12,0.46875,-0.625017,1348,-0.015625,0.46875
16,13,0.515625,-0.625017,1054,0,0.515625
16,14,0.5625,-0.625017,253,-0.017578,0.5625
16,15,0.421875,-0.500013,407,-0.013672,0.421875
16,16,0.46875,-0.500013,897,0,0.46875
16,17,0.515625,-0.500013,702,0,0.515625
16,18,0.5625,-0.500013,166,0,0.5625
17,1,0.375,0.875023,99,-0.058594,0.371094
17,2,0.421875,0.875023,222,-0.066406,0.416016
17,3,0.46875,0.875023,183,-0.074219,0.462891
17,4,0.515625,0.875023,50,-0.080078,0.509766
17,5,0.375,-1.000027,105,0,0.375
17,6,0.421875,-1.000027,178,0,0.421875
17,7,0.46875,-1.000027,111,0,0.46875
17,8,0.515625,-1.000027,37,0.033203,0.515625
17,9,0.375,-0.875023,92,-0.058594,0.371094
17,10,0.421875,-0.875023,266,0.027344,0.421875
17,11,0.46875,-0.875023,410,0.015625,0.46875
17,12,0.515625,-0.875023,225,0.015625,0.515625
17,13,0.5625,-0.875023,31,0,0.5625
17,14,0.375,-0.75002,195,0.035156,0.373047
17,15,0.421875,-0.75002,971,0.027344,0.421875
17,16,0.46875,-0.75002,1400,0.029297,0.46875
17,17,0.515625,-0.75002,730,0.015625,0.515625
17,18,0.5625,-0.75002,98,0,0.5625
17,19,0.375,-0.625017,241,0.011719,0.375
17,20,0.421875,-0.625017,1050,0,0.421875
17,21,0.46875,-0.625017,1435,0,0.46875
17,22,0.515625,-0.625017,717,0,0.515625
17,23,0.5625,-0.625017,95,-0.017578,0.5625
17,24,0.375,-0.500013,70,0,0.375
17,25,0.421875,-0.500013,275,0.013672,0.421875
17,26,0.46875,-0.500013,360,0.015625,0.46875
17,27,0.515625,-0.500013,176,0.015625,0.515625
17,28,0.5625,-0.500013,27,0,0.5625
17,29,0.375,-0.75002,145,-0.082031,0.365234
18,1,0.328125,-1.000027,50,0,0.328125
18,2,0.375,-1.000027,161,0,0.375
18,3,0.421875,-1.000027,224,0,0.421875
18,4,0.46875,-1.000027,142,0.015625,0.46875
18,5,0.515625,-1.000027,32,0.015625,0.515625
18,6,0.328125,-0.875023,49,-0.03125,0.326172
18,7,0.375,-0.875023,332,-0.011719,0.375
18,8,0.421875,-0.875023,659,-0.013672,0.421875
18,9,0.46875,-0.875023,458,0,0.46875
