timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.46875,0,50,0.162109,0.439453
1,2,0.46875,0.125003,71,0.146484,0.445312
1,3,0.46875,-0.250007,55,0.175781,0.435547
1,4,0.46875,-0.125003,158,0.162109,0.439453
2,1,0.421875,0,77,0.132812,0.400391
2,2,0.46875,0,93,0.146484,0.445312
2,3,0.515625,0,41,0.128906,0.5
2,4,0.5625,0,16,0.28125,0.486328
2,5,0.421875,-0.250007,69,0.144531,0.396484
2,6,0.46875,-0.250007,82,0.162109,0.439453
2,7,0.421875,-0.125003,186,0.132812,0.400391
2,8,0.46875,-0.125003,219,0.146484,0.445312
2,9,0.5625,-0.125003,37,0.28125,0.486328
2,10,0.515625,0,37,0.291016,0.425781
3,1,0.375,0,82,0.128906,0.351562
3,2,0.421875,0,292,0.144531,0.396484
3,3,0.46875,0,333,0.162109,0.439453
3,4,0.515625,0,132,0.144531,0.494141
3,5,0.5625,0,20,0.298828,0.476562
3,6,0.609375,0.125003,29,0.132812,0.59375
3,7,0.375,-0.250007,78,0.140625,0.347656
3,8,0.421875,-0.250007,284,0.158203,0.390625
3,9,0.46875,-0.250007,326,0.162109,0.439453
3,10,0.515625,-0.250007,133,0.162109,0.490234
3,11,0.375,-0.125003,152,0.128906,0.351562
3,12,0.421875,-0.125003,543,0.144531,0.396484
3,13,0.46875,-0.125003,619,0.146484,0.445312
3,14,0.515625,-0.125003,246,0.144531,0.494141
3,15,0.5625,-0.125003,37,0.298828,0.476562
3,16,0.609375,-0.125003,49,0.132812,0.59375
3,17,0.5625,0,16,0.105469,0.552734
3,18,0.5625,-0.250007,18,0.105469,0.552734
3,19,0.5625,-0.125003,31,0.087891,0.554688
4,1,0.421875,0,149,0.144531,0.396484
4,2,0.46875,0,151,0.146484,0.445312
4,3,0.375,-0.37501,52,0.128906,0.351562
4,4,0.421875,-0.37501,166,0.158203,0.390625
4,5,0.46875,-0.37501,197,0.175781,0.435547
4,6,0.515625,-0.37501,105,0.226562,0.462891
4,7,0.5625,-0.37501,23,0.263672,0.496094
4,8,0.375,-0.250007,151,0.140625,0.347656
4,9,0.421875,-0.250007,469,0.158203,0.390625
4,10,0.46875,-0.250007,511,0.175781,0.435547
4,11,0.515625,-0.250007,214,0.208984,0.470703
4,12,0.5625,-0.250007,33,0.263672,0.496094
4,13,0.375,-0.125003,145,0.117188,0.355469
4,14,0.421875,-0.125003,442,0.132812,0.400391
4,15,0.46875,-0.125003,463,0.146484,0.445312
4,16,0.515625,-0.125003,171,0.162109,0.490234
4,17,0.5625,-0.125003,30,0.087891,0.554688
4,18,0.5625,-0.250007,31,0.070312,0.558594
5,1,0.375,-0.75002,100,0.175781,0.332031
5,2,0.421875,-0.75002,314,0.197266,0.373047
5,3,0.46875,-0.75002,355,0.234375,0.40625
5,4,0.515625,-0.75002,150,0.257812,0.447266
5,5,0.5625,-0.75002,15,0.28125,0.486328
5,6,0.328125,-0.625017,21,0.132812,0.300781
5,7,0.375,-0.625017,286,0.152344,0.341797
5,8,0.421875,-0.625017,734,0.171875,0.384766
5,9,0.46875,-0.625017,691,0.205078,0.421875
5,10,0.515625,-0.625017,233,0.226562,0.462891
5,11,0.5625,-0.625017,17,0.263672,0.496094
5,12,0.375,-0.500013,379,0.152344,0.341797
5,13,0.421875,-0.500013,864,0.171875,0.384766
5,14,0.46875,-0.500013,689,0.191406,0.427734
5,15,0.515625,-0.500013,174,0.208984,0.470703
5,16,0.375,-0.37501,220,0.128906,0.351562
5,17,0.421875,-0.37501,474,0.144531,0.396484
5,18,0.46875,-0.37501,353,0.162109,0.439453
5,19,0.515625,-0.37501,77,0.177734,0.484375
6,1,0.375,-0.75002,100,0.175781,0.332031
6,2,0.421875,-0.75002,314,0.197266,0.373047
6,3,0.46875,-0.75002,355,0.234375,0.40625
6,4,0.515625,-0.75002,150,0.257812,0.447266
6,5,0.5625,-0.75002,15,0.28125,0.486328
6,6,0.328125,-0.625017,21,0.132812,0.300781
6,7,0.375,-0.625017,286,0.152344,0.341797
6,8,0.421875,-0.625017,734,0.171875,0.384766
6,9,0.46875,-0.625017,691,0.205078,0.421875
6,10,0.515625,-0.625017,233,0.226562,0.462891
