timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.375,-0.37501,51,0.128906,0.351562
1,2,0.421875,-0.37501,206,0.144531,0.396484
1,3,0.46875,-0.37501,252,0.162109,0.439453
1,4,0.515625,-0.37501,106,0.193359,0.478516
1,5,0.5625,-0.37501,17,0.28125,0.486328
1,6,0.375,-0.250007,91,0.128906,0.351562
1,7,0.421875,-0.250007,365,0.144531,0.396484
1,8,0.46875,-0.250007,445,0.162109,0.439453
1,9,0.515625,-0.250007,181,0.162109,0.490234
1,10,0.5625,-0.250007,37,0.123047,0.548828
1,11,0.421875,-0.125003,206,0.132812,0.400391
1,12,0.46875,-0.125003,256,0.146484,0.445312
1,13,0.515625,-0.125003,116,0.144531,0.494141
1,14,0.5625,-0.125003,41,0.140625,0.544922
1,15,0.5625,-0.37501,15,0.087891,0.554688
1,16,0.609375,-0.125003,34,0.191406,0.578125
2,1,0.375,-0.500013,67,0.128906,0.351562
2,2,0.421875,-0.500013,217,0.158203,0.390625
2,3,0.46875,-0.500013,261,0.175781,0.435547
2,4,0.515625,-0.500013,127,0.193359,0.478516
2,5,0.5625,-0.500013,20,0.228516,0.513672
2,6,0.375,-0.37501,154,0.117188,0.355469
2,7,0.421875,-0.37501,478,0.132812,0.400391
2,8,0.46875,-0.37501,527,0.162109,0.439453
2,9,0.515625,-0.37501,230,0.177734,0.484375
2,10,0.5625,-0.37501,33,0.193359,0.527344
2,11,0.375,-0.250007,99,0.117188,0.355469
2,12,0.421875,-0.250007,308,0.132812,0.400391
2,13,0.46875,-0.250007,332,0.162109,0.439453
2,14,0.515625,-0.250007,133,0.177734,0.484375
3,1,0.375,-0.500013,67,0.128906,0.351562
3,2,0.421875,-0.500013,217,0.158203,0.390625
3,3,0.46875,-0.500013,261,0.175781,0.435547
3,4,0.515625,-0.500013,127,0.193359,0.478516
3,5,0.5625,-0.500013,20,0.228516,0.513672
3,6,0.375,-0.37501,154,0.117188,0.355469
3,7,0.421875,-0.37501,478,0.132812,0.400391
3,8,0.46875,-0.37501,527,0.162109,0.439453
3,9,0.515625,-0.37501,230,0.177734,0.484375
3,10,0.5625,-0.37501,33,0.193359,0.527344
3,11,0.375,-0.250007,99,0.117188,0.355469
3,12,0.421875,-0.250007,308,0.132812,0.400391
3,13,0.46875,-0.250007,332,0.162109,0.439453
3,14,0.515625,-0.250007,133,0.177734,0.484375
4,1,0.375,-0.875023,42,0.152344,0.341797
4,2,0.421875,-0.875023,93,0.171875,0.384766
4,3,0.46875,-0.875023,77,0.191406,0.427734
4,4,0.515625,-0.875023,24,0.208984,0.470703
4,5,0.375,-0.75002,119,0.164062,0.337891
4,6,0.421875,-0.75002,270,0.185547,0.378906
4,7,0.46875,-0.75002,221,0.205078,0.421875
4,8,0.515625,-0.75002,59,0.226562,0.462891
4,9,0.375,-0.625017,121,0.128906,0.351562
4,10,0.421875,-0.625017,247,0.158203,0.390625
4,11,0.46875,-0.625017,188,0.191406,0.427734
4,12,0.515625,-0.625017,43,0.226562,0.462891
4,13,0.375,-0.500013,91,0.117188,0.355469
4,14,0.421875,-0.500013,125,0.144531,0.396484
4,15,0.46875,-0.500013,51,0.146484,0.445312
4,16,0.421875,-0.37501,23,0.158203,0.390625
4,17,0.46875,-0.37501,28,0.044922,0.466797
4,18,0.5625,-0.125003,22,0.017578,0.5625
4,19,0.421875,-0.37501,23,0.027344,0.421875
5,1,0.328125,-1.000027,70,0.123047,0.304688
5,2,0.375,-1.000027,196,0.152344,0.341797
5,3,0.421875,-1.000027,184,0.185547,0.378906
5,4,0.46875,-1.000027,110,0.205078,0.421875
5,5,0.515625,-1.000027,35,0.208984,0.470703
5,6,0.328125,-0.875023,209,0.103516,0.3125
5,7,0.375,-0.875023,692,0.117188,0.355469
5,8,0.421875,-0.875023,686,0.132812,0.400391
5,9,0.46875,-0.875023,182,0.132812,0.449219
5,10,0.515625,-0.875023,24,0.193359,0.478516
5,11,0.328125,-0.75002,193,0.113281,0.308594
5,12,0.375,-0.75002,735,0.117188,0.355469
5,13,0.421875,-0.75002,862,0.132812,0.400391
5,14,0.46875,-0.75002,330,0.146484,0.445312
5,15,0.328125,-0.625017,111,0.082031,0.318359
5,16,0.375,-0.625017,418,0.09375,0.363281
5,17,0.421875,-0.625017,500,0.105469,0.408203
5,18,0.46875,-0.625017,205,0.117188,0.453125
5,19,0.328125,-0.500013,39,0.082031,0.318359
5,20,0.375,-0.500013,132,0.105469,0.359375
5,21,0.421875,-0.500013,148,0.119141,0.404297
5,22,0.46875,-0.500013,63,0.132812,0.449219
5,23,0.515625,-0.500013,26,0.144531,0.494141
5,24,0.5625,-0.500013,28,0.158203,0.539062
5,25,0.515625,-0.37501,32,0.128906,0.5
5,26,0.5625,-0.37501,38,0.140625,0.544922
5,27,0.609375,-0.37501,17,0.152344,0.589844
5,28,0.46875,-0.875023,140,-0.029297,0.46875
5,29,0.5625,-0.500013,25,-0.017578,0.5625
6,1,0.28125,0.625017,117,0.070312,0.271484
6,2,0.328125,0.625017,526,0.082031,0.318359
6,3,0.375,0.625017,733,0.09375,0.363281
6,4,0.421875,0.625017,378,0.091797,0.412109
6,5,0.46875,0.625017,50,0.103516,0.457031
6,6,0.28125,0.75002,205,0.0625,0.275391
6,7,0.328125,0.75002,941,0.072266,0.320312
6,8,0.375,0.75002,1366,0.082031,0.365234
6,9,0.421875,0.75002,742,0.091797,0.412109
6,10,0.46875,0.75002,111,0.087891,0.460938
6,11,0.28125,0.875023,170,0.052734,0.275391
6,12,0.328125,0.875023,808,0.0625,0.322266
6,13,0.375,0.875023,1204,0.070312,0.369141
6,14,0.421875,0.875023,672,0.080078,0.414062
6,15,0.46875,0.875023,104,0.074219,0.462891
6,16,0.28125,-1.000027,80,0.087891,0.267578
6,17,0.328125,-1.000027,388,0.103516,0.3125
6,18,0.375,-1.000027,585,0.117188,0.355469
6,19,0.421875,-1.000027,331,0.132812,0.400391
6,20,0.46875,-1.000027,51,0.146484,0.445312
6,21,0.328125,-0.625017,117,0.050781,0.324219
6,22,0.375,-0.625017,184,0.058594,0.371094
6,23,0.421875,-0.625017,97,0.066406,0.416016
6,24,0.5625,-0.250007,15,0.087891,0.554688
7,1,0.234375,0.75002,61,0.029297,0.232422
7,2,0.28125,0.75002,262,0.035156,0.279297
7,3,0.328125,0.75002,359,0.041016,0.326172
7,4,0.375,0.75002,179,0.046875,0.373047
7,5,0.421875,0.75002,21,0.052734,0.417969
7,6,0.234375,0.875023,104,0.029297,0.232422
7,7,0.28125,0.875023,459,0.035156,0.279297
7,8,0.328125,0.875023,636,0.041016,0.326172
7,9,0.375,0.875023,321,0.046875,0.373047
7,10,0.421875,0.875023,40,0.039062,0.419922
