timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.5625,0,535,-0.017578,0.5625
1,2,0.515625,0.125003,318,-0.033203,0.515625
1,3,0.5625,0.125003,959,-0.017578,0.5625
1,4,0.515625,0.250007,185,-0.033203,0.515625
1,5,0.5625,0.250007,554,-0.035156,0.560547
1,6,0.5625,-0.125003,69,-0.017578,0.5625
2,1,0.5625,0,535,-0.017578,0.5625
2,2,0.515625,0.125003,318,-0.033203,0.515625
2,3,0.5625,0.125003,959,-0.017578,0.5625
2,4,0.515625,0.250007,185,-0.033203,0.515625
2,5,0.5625,0.250007,554,-0.035156,0.560547
2,6,0.5625,-0.125003,69,-0.017578,0.5625
3,1,0.5625,0,72,-0.035156,0.560547
3,2,0.5625,0.125003,137,-0.017578,0.5625
3,3,0.5625,0.250007,45,-0.017578,0.5625
3,4,0.5625,-0.250007,89,-0.017578,0.5625
3,5,0.5625,-0.125003,250,-0.035156,0.560547
4,1,0.515625,0,109,-0.015625,0.515625
4,2,0.5625,0,309,-0.017578,0.5625
4,3,0.5625,0.125003,78,-0.035156,0.560547
4,4,0.5625,0.250007,31,-0.035156,0.560547
4,5,0.5625,-0.250007,260,0,0.5625
4,6,0.5625,-0.125003,623,-0.017578,0.5625
5,1,0.5625,0,132,0,0.5625
5,2,0.5625,0.125003,52,0.017578,0.5625
5,3,0.5625,-0.250007,112,0.017578,0.5625
5,4,0.5625,-0.125003,285,0,0.5625
6,1,0.5625,0.125003,51,-0.017578,0.5625
6,2,0.5625,-0.125003,81,-0.017578,0.5625
7,1,0.5625,0.125003,51,-0.017578,0.5625
7,2,0.5625,-0.125003,81,-0.017578,0.5625
8,1,0.5625,0,65,-0.017578,0.5625
8,2,0.5625,0.125003,91,-0.017578,0.5625
8,3,0.5625,-0.250007,70,0,0.5625
8,4,0.5625,-0.125003,203,-0.017578,0.5625
9,1,0.515625,0,44,-0.033203,0.515625
9,2,0.5625,0,84,-0.052734,0.560547
9,3,0.5625,0.125003,49,-0.052734,0.560547
9,4,0.5625,-0.250007,74,-0.035156,0.560547
9,5,0.5625,-0.125003,196,-0.052734,0.560547
10,1,0.515625,0,184,-0.015625,0.515625
10,2,0.5625,0,393,-0.017578,0.5625
10,3,0.515625,-0.250007,176,0,0.515625
10,4,0.5625,-0.250007,391,0,0.5625
10,5,0.515625,-0.125003,336,-0.015625,0.515625
10,6,0.5625,-0.125003,727,-0.017578,0.5625
11,1,0.5625,0,94,-0.070312,0.558594
11,2,0.46875,-0.500013,18,0,0.46875
11,3,0.515625,-0.500013,90,0,0.515625
11,4,0.5625,-0.500013,149,0.017578,0.5625
11,5,0.46875,-0.37501,110,-0.029297,0.46875
11,6,0.515625,-0.37501,557,-0.015625,0.515625
11,7,0.5625,-0.37501,963,-0.017578,0.5625
11,8,0.46875,-0.250007,173,-0.029297,0.46875
11,9,0.515625,-0.250007,879,-0.015625,0.515625
11,10,0.5625,-0.250007,1483,0,0.5625
11,11,0.515625,-0.125003,508,-0.033203,0.515625
11,12,0.5625,-0.125003,826,-0.035156,0.560547
12,1,0.5625,0,67,0.017578,0.5625
12,2,0.46875,-0.625017,24,-0.044922,0.466797
12,3,0.515625,-0.625017,117,0.015625,0.515625
12,4,0.5625,-0.625017,196,0.017578,0.5625
12,5,0.46875,-0.500013,50,0,0.46875
12,6,0.515625,-0.500013,347,0.015625,0.515625
12,7,0.5625,-0.500013,606,0.035156,0.560547
12,8,0.515625,-0.37501,344,0,0.515625
12,9,0.5625,-0.37501,604,0,0.5625
13,1,0.5625,0,67,0.017578,0.5625
13,2,0.46875,-0.625017,24,-0.044922,0.466797
13,3,0.515625,-0.625017,117,0.015625,0.515625
13,4,0.5625,-0.625017,196,0.017578,0.5625
13,5,0.46875,-0.500013,50,0,0.46875
13,6,0.515625,-0.500013,347,0.015625,0.515625
13,7,0.5625,-0.500013,606,0.035156,0.560547
13,8,0.515625,-0.37501,344,0,0.515625
13,9,0.5625,-0.37501,604,0,0.5625
13,10,0.5625,-0.250007,175,-0.017578,0.5625
14,1,0.5625,0,82,-0.052734,0.560547
14,2,0.46875,-1.000027,117,0.015625,0.46875
14,3,0.515625,-1.000027,218,0.015625,0.515625
14,4,0.5625,-1.000027,149,0.017578,0.5625
14,5,0.421875,-0.875023,19,0.013672,0.421875
14,6,0.46875,-0.875023,156,0.015625,0.46875
14,7,0.515625,-0.875023,314,0.015625,0.515625
14,8,0.5625,-0.875023,231,0.017578,0.5625
14,9,0.46875,-0.75002,151,0.015625,0.46875
14,10,0.515625,-0.75002,478,0.015625,0.515625
14,11,0.5625,-0.75002,503,0.017578,0.5625
14,12,0.46875,-0.625017,308,-0.015625,0.46875
14,13,0.515625,-0.625017,1023,-0.015625,0.515625
14,14,0.5625,-0.625017,1102,-0.017578,0.5625
14,15,0.46875,-0.500013,283,-0.015625,0.46875
14,16,0.515625,-0.500013,831,-0.015625,0.515625
14,17,0.5625,-0.500013,842,-0.017578,0.5625
14,18,0.5625,-0.37501,144,-0.035156,0.560547
15,1,0.375,0.875023,25,-0.058594,0.371094
15,2,0.421875,0.875023,191,-0.066406,0.416016
15,3,0.46875,0.875023,389,-0.074219,0.462891
15,4,0.515625,0.875023,299,-0.097656,0.505859
15,5,0.5625,0.875023,76,-0.105469,0.552734
15,6,0.375,-1.000027,46,0.011719,0.375
