FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.562500,-0.500013,28.000000,-0.246094,0.505859
1,2,0.562500,-0.375010,73.000000,-0.246094,0.505859
1,3,0.609375,-0.375010,38.000000,-0.267578,0.548828
2,1,0.468750,-0.625017,90.000000,-0.234375,0.406250
2,2,0.515625,-0.625017,100.000000,-0.242188,0.455078
2,3,0.562500,-0.625017,71.000000,-0.263672,0.496094
2,4,0.609375,-0.625017,27.000000,-0.267578,0.548828
2,5,0.562500,-0.500013,75.000000,-0.263672,0.496094
2,6,0.562500,-0.375010,75.000000,-0.123047,0.548828
3,1,0.421875,-0.750020,69.000000,-0.197266,0.373047
3,2,0.468750,-0.750020,87.000000,-0.220703,0.414062
3,3,0.515625,-0.750020,37.000000,-0.242188,0.455078
3,4,0.562500,-0.750020,36.000000,-0.193359,0.527344
3,5,0.609375,-0.750020,18.000000,-0.208984,0.572266
3,6,0.421875,-0.625017,147.000000,-0.185547,0.378906
3,7,0.468750,-0.625017,119.000000,-0.234375,0.406250
3,8,0.515625,-0.625017,85.000000,-0.177734,0.484375
3,9,0.562500,-0.625017,135.000000,-0.210938,0.521484
3,10,0.609375,-0.625017,52.000000,-0.228516,0.564453
3,11,0.562500,-0.500013,111.000000,-0.228516,0.513672
4,1,0.421875,-0.750020,69.000000,-0.197266,0.373047
4,2,0.468750,-0.750020,87.000000,-0.220703,0.414062
4,3,0.515625,-0.750020,37.000000,-0.242188,0.455078
4,4,0.562500,-0.750020,36.000000,-0.193359,0.527344
4,5,0.609375,-0.750020,18.000000,-0.208984,0.572266
4,6,0.421875,-0.625017,147.000000,-0.185547,0.378906
4,7,0.468750,-0.625017,119.000000,-0.234375,0.406250
4,8,0.515625,-0.625017,85.000000,-0.177734,0.484375
4,9,0.562500,-0.625017,135.000000,-0.210938,0.521484
4,10,0.609375,-0.625017,52.000000,-0.228516,0.564453
4,11,0.562500,-0.500013,111.000000,-0.228516,0.513672
5,1,0.375000,-0.750020,76.000000,-0.140625,0.347656
5,2,0.421875,-0.750020,158.000000,-0.171875,0.384766
5,3,0.468750,-0.750020,139.000000,-0.191406,0.427734
5,4,0.515625,-0.750020,53.000000,-0.193359,0.478516
5,5,0.375000,-0.625017,132.000000,-0.128906,0.351562
5,6,0.421875,-0.625017,201.000000,-0.171875,0.384766
5,7,0.468750,-0.625017,150.000000,-0.220703,0.414062
5,8,0.515625,-0.625017,142.000000,-0.128906,0.500000
5,9,0.562500,-0.625017,69.000000,-0.140625,0.544922
