timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.328125,-0.125003,52,0.103516,0.3125
2,1,0.328125,-0.125003,52,0.103516,0.3125
3,1,0.328125,-0.125003,89,0.091797,0.314453
4,1,0.28125,0,39,0.080078,0.269531
4,2,0.328125,0,69,0.091797,0.314453
4,3,0.28125,-0.250007,35,0.087891,0.267578
4,4,0.328125,-0.250007,62,0.103516,0.3125
4,5,0.28125,-0.125003,98,0.080078,0.269531
4,6,0.328125,-0.125003,174,0.091797,0.314453
5,1,0.28125,0,104,0.070312,0.271484
5,2,0.328125,0,167,0.082031,0.318359
5,3,0.28125,-0.250007,87,0.080078,0.269531
5,4,0.328125,-0.250007,141,0.091797,0.314453
5,5,0.28125,-0.125003,201,0.070312,0.271484
5,6,0.328125,-0.125003,322,0.082031,0.318359
5,7,0.375,-0.125003,165,0.09375,0.363281
6,1,0.28125,0,104,0.070312,0.271484
6,2,0.328125,0,167,0.082031,0.318359
6,3,0.28125,-0.250007,87,0.080078,0.269531
6,4,0.328125,-0.250007,141,0.091797,0.314453
6,5,0.28125,-0.125003,201,0.070312,0.271484
6,6,0.328125,-0.125003,322,0.082031,0.318359
6,7,0.375,-0.125003,165,0.09375,0.363281
7,1,0.28125,-0.250007,83,0.0625,0.275391
7,2,0.28125,-0.125003,148,0.052734,0.275391
8,1,0.328125,0.625017,428,-0.091797,0.314453
8,2,0.28125,0.75002,182,-0.080078,0.269531
8,3,0.328125,0.75002,373,-0.091797,0.314453
8,4,0.375,0.75002,286,-0.105469,0.359375
8,5,0.328125,0.875023,110,-0.103516,0.3125
9,1,0.328125,-1.000027,118,-0.195312,0.263672
9,2,0.375,-1.000027,225,-0.222656,0.302734
9,3,0.421875,-1.000027,173,-0.25,0.339844
9,4,0.28125,-0.875023,35,-0.185547,0.212891
9,5,0.328125,-0.875023,205,-0.214844,0.248047
9,6,0.375,-0.875023,331,-0.246094,0.283203
9,7,0.421875,-0.875023,191,-0.277344,0.318359
9,8,0.328125,-0.75002,157,-0.214844,0.248047
9,9,0.375,-0.75002,250,-0.246094,0.283203
