timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.5625,0,205,0,0.5625
1,2,0.5625,0.125003,581,0,0.5625
1,3,0.515625,0.250007,185,-0.015625,0.515625
1,4,0.5625,0.250007,647,0,0.5625
1,5,0.515625,0.37501,62,-0.015625,0.515625
1,6,0.5625,0.37501,237,0,0.5625
2,1,0.5625,0,66,-0.017578,0.5625
2,2,0.5625,0.125003,163,-0.035156,0.560547
2,3,0.5625,0.250007,62,-0.035156,0.560547
2,4,0.5625,-0.125003,56,-0.035156,0.560547
3,1,0.5625,0,66,-0.017578,0.5625
3,2,0.5625,0.125003,163,-0.035156,0.560547
3,3,0.5625,0.250007,62,-0.035156,0.560547
3,4,0.5625,-0.125003,56,-0.035156,0.560547
4,1,0.5625,0,26,-0.035156,0.560547
4,2,0.5625,0.125003,45,-0.035156,0.560547
4,3,0.5625,-0.250007,31,-0.017578,0.5625
4,4,0.5625,-0.125003,87,-0.035156,0.560547
5,1,0.5625,0,69,0.070312,0.558594
5,2,0.5625,-0.250007,59,-0.070312,0.558594
5,3,0.5625,-0.125003,155,0.052734,0.560547
5,4,0.5625,0,65,-0.070312,0.558594
5,5,0.5625,-0.250007,59,0.070312,0.558594
5,6,0.5625,-0.125003,143,-0.070312,0.558594
6,1,0.5625,0,126,0.017578,0.5625
6,2,0.5625,0.125003,60,0.017578,0.5625
6,3,0.5625,-0.250007,107,0.035156,0.560547
6,4,0.5625,-0.125003,280,0.017578,0.5625
7,1,0.5625,0,126,0.017578,0.5625
7,2,0.5625,0.125003,60,0.017578,0.5625
7,3,0.5625,-0.250007,107,0.035156,0.560547
7,4,0.5625,-0.125003,280,0.017578,0.5625
8,1,0.5625,0,89,0.017578,0.5625
8,2,0.5625,0.125003,67,0.017578,0.5625
8,3,0.5625,-0.250007,80,0.035156,0.560547
8,4,0.5625,-0.125003,224,0.017578,0.5625
9,1,0.515625,0,28,0.015625,0.515625
9,2,0.5625,0,120,0.017578,0.5625
9,3,0.5625,0.125003,51,0.017578,0.5625
9,4,0.5625,-0.250007,103,0.035156,0.560547
9,5,0.5625,-0.125003,264,0.017578,0.5625
10,1,0.515625,0,112,0,0.515625
10,2,0.5625,0,334,0.017578,0.5625
10,3,0.515625,-0.250007,108,0.015625,0.515625
10,4,0.5625,-0.250007,320,0.035156,0.560547
10,5,0.515625,-0.125003,206,0,0.515625
10,6,0.5625,-0.125003,619,0.017578,0.5625
11,1,0.5625,0,31,-0.087891,0.554688
11,2,0.46875,-0.37501,42,0,0.46875
11,3,0.515625,-0.37501,294,-0.015625,0.515625
11,4,0.5625,-0.37501,541,-0.017578,0.5625
11,5,0.515625,-0.250007,517,0,0.515625
11,6,0.5625,-0.250007,976,0,0.5625
11,7,0.515625,-0.125003,284,-0.015625,0.515625
11,8,0.5625,-0.125003,548,-0.017578,0.5625
11,9,0.5625,0,21,0.070312,0.558594
11,10,0.609375,0,24,-0.132812,0.59375
12,1,0.5625,0,115,-0.017578,0.5625
12,2,0.5625,0.125003,56,-0.035156,0.560547
12,3,0.46875,-0.625017,29,0,0.46875
12,4,0.515625,-0.625017,143,0,0.515625
12,5,0.5625,-0.625017,211,0,0.5625
12,6,0.46875,-0.500013,135,0,0.46875
12,7,0.515625,-0.500013,650,0,0.515625
12,8,0.5625,-0.500013,948,0,0.5625
12,9,0.46875,-0.37501,165,-0.015625,0.46875
12,10,0.515625,-0.37501,795,-0.015625,0.515625
13,1,0.5625,0,115,-0.017578,0.5625
13,2,0.5625,0.125003,56,-0.035156,0.560547
13,3,0.46875,-0.625017,29,0,0.46875
13,4,0.515625,-0.625017,143,0,0.515625
13,5,0.5625,-0.625017,211,0,0.5625
13,6,0.46875,-0.500013,135,0,0.46875
13,7,0.515625,-0.500013,650,0,0.515625
13,8,0.5625,-0.500013,948,0,0.5625
13,9,0.46875,-0.37501,165,-0.015625,0.46875
13,10,0.515625,-0.37501,795,-0.015625,0.515625
13,11,0.5625,-0.37501,1176,-0.035156,0.560547
13,12,0.515625,-0.250007,286,-0.015625,0.515625
13,13,0.5625,-0.250007,443,-0.017578,0.5625
14,1,0.5625,0,75,0,0.5625
14,2,0.46875,-0.75002,87,0.015625,0.46875
14,3,0.515625,-0.75002,259,0.015625,0.515625
14,4,0.5625,-0.75002,273,0.017578,0.5625
14,5,0.46875,-0.625017,265,0,0.46875
14,6,0.515625,-0.625017,798,0,0.515625
14,7,0.5625,-0.625017,903,0,0.5625
14,8,0.46875,-0.500013,236,0,0.46875
14,9,0.515625,-0.500013,772,0.015625,0.515625
14,10,0.5625,-0.500013,1002,0.017578,0.5625
14,11,0.515625,-0.37501,256,0,0.515625
14,12,0.5625,-0.37501,404,0,0.5625
15,1,0.421875,-0.75002,18,0.013672,0.421875
15,2,0.46875,-0.75002,45,0.015625,0.46875
15,3,0.515625,-0.75002,44,-0.208984,0.470703
15,4,0.5625,-0.75002,37,-0.070312,0.558594
15,5,0.421875,-0.625017,53,0,0.421875
15,6,0.46875,-0.625017,119,-0.015625,0.46875
15,7,0.515625,-0.625017,176,-0.080078,0.509766
15,8,0.5625,-0.625017,178,-0.087891,0.554688
15,9,0.46875,-0.500013,70,-0.058594,0.464844
15,10,0.515625,-0.500013,210,-0.080078,0.509766
15,11,0.5625,-0.500013,219,0.052734,0.560547
15,12,0.515625,-0.37501,101,0.033203,0.515625
15,13,0.5625,-0.37501,124,0.035156,0.560547
15,14,0.5625,-0.250007,33,0,0.5625
