FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.562500,-0.125003,46.000000,-0.281250,0.486328
2,1,0.468750,-0.625017,49.000000,-0.220703,0.414062
2,2,0.515625,-0.625017,70.000000,-0.242188,0.455078
2,3,0.562500,-0.625017,63.000000,-0.246094,0.505859
2,4,0.609375,-0.625017,26.000000,-0.267578,0.548828
2,5,0.468750,-0.500013,79.000000,-0.191406,0.427734
2,6,0.562500,-0.500013,65.000000,-0.228516,0.513672
3,1,0.468750,-0.625017,49.000000,-0.220703,0.414062
3,2,0.515625,-0.625017,70.000000,-0.242188,0.455078
3,3,0.562500,-0.625017,63.000000,-0.246094,0.505859
3,4,0.609375,-0.625017,26.000000,-0.267578,0.548828
3,5,0.468750,-0.500013,79.000000,-0.191406,0.427734
3,6,0.562500,-0.500013,65.000000,-0.228516,0.513672
4,1,0.421875,-0.875023,44.000000,-0.197266,0.373047
4,2,0.468750,-0.875023,87.000000,-0.205078,0.421875
4,3,0.515625,-0.875023,91.000000,-0.226562,0.462891
4,4,0.562500,-0.875023,48.000000,-0.246094,0.505859
4,5,0.421875,-0.750020,104.000000,-0.185547,0.378906
4,6,0.468750,-0.750020,172.000000,-0.205078,0.421875
4,7,0.515625,-0.750020,154.000000,-0.226562,0.462891
4,8,0.562500,-0.750020,73.000000,-0.228516,0.513672
4,9,0.421875,-0.625017,116.000000,-0.185547,0.378906
4,10,0.468750,-0.625017,149.000000,-0.205078,0.421875
5,1,0.375000,-0.875023,48.000000,-0.164062,0.337891
5,2,0.421875,-0.875023,128.000000,-0.185547,0.378906
5,3,0.468750,-0.875023,150.000000,-0.205078,0.421875
5,4,0.515625,-0.875023,81.000000,-0.226562,0.462891
5,5,0.562500,-0.875023,22.000000,-0.210938,0.521484
5,6,0.375000,-0.750020,103.000000,-0.152344,0.341797
5,7,0.421875,-0.750020,205.000000,-0.171875,0.384766
5,8,0.468750,-0.750020,172.000000,-0.205078,0.421875
5,9,0.562500,-0.750020,58.000000,-0.175781,0.535156
5,10,0.375000,-0.625017,161.000000,-0.117188,0.355469
5,11,0.421875,-0.625017,195.000000,-0.132812,0.400391
5,12,0.562500,-0.625017,54.000000,-0.193359,0.527344
5,13,0.562500,-0.500013,53.000000,-0.140625,0.544922
5,14,0.562500,-0.375010,104.000000,-0.140625,0.544922
5,15,0.562500,-0.250007,94.000000,-0.123047,0.548828
6,1,0.375000,-0.750020,76.000000,-0.152344,0.341797
6,2,0.421875,-0.750020,171.000000,-0.091797,0.412109
6,3,0.468750,-0.750020,402.000000,-0.117188,0.453125
6,4,0.515625,-0.750020,327.000000,-0.144531,0.494141
6,5,0.562500,-0.750020,95.000000,-0.158203,0.539062
