timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.375,0,69,0.199219,0.318359
1,2,0.421875,0,107,0.224609,0.357422
1,3,0.46875,0,64,0.25,0.396484
1,4,0.421875,0.125003,131,0.224609,0.357422
1,5,0.375,-0.250007,66,0.210938,0.310547
1,6,0.421875,-0.250007,103,0.238281,0.349609
1,7,0.46875,-0.250007,61,0.263672,0.386719
1,8,0.375,-0.125003,190,0.199219,0.318359
1,9,0.421875,-0.125003,296,0.224609,0.357422
1,10,0.46875,-0.125003,178,0.25,0.396484
2,1,0.328125,0,101,0.164062,0.285156
2,2,0.375,0,539,0.175781,0.332031
2,3,0.421875,0,866,0.197266,0.373047
2,4,0.46875,0,518,0.220703,0.414062
2,5,0.515625,0,87,0.242188,0.455078
2,6,0.328125,-0.37501,33,0.164062,0.285156
2,7,0.375,-0.37501,163,0.1875,0.324219
2,8,0.421875,-0.37501,250,0.210938,0.365234
2,9,0.46875,-0.37501,145,0.234375,0.40625
2,10,0.328125,-0.250007,160,0.173828,0.277344
2,11,0.375,-0.250007,812,0.1875,0.324219
2,12,0.421875,-0.250007,1277,0.210938,0.365234
2,13,0.46875,-0.250007,753,0.234375,0.40625
2,14,0.515625,-0.250007,126,0.257812,0.447266
2,15,0.328125,-0.125003,212,0.164062,0.285156
2,16,0.375,-0.125003,1117,0.175781,0.332031
2,17,0.421875,-0.125003,1779,0.197266,0.373047
2,18,0.46875,-0.125003,1061,0.205078,0.421875
2,19,0.515625,-0.125003,180,0.226562,0.462891
3,1,0.375,-0.625017,62,0.199219,0.318359
3,2,0.421875,-0.625017,80,0.224609,0.357422
3,3,0.46875,-0.625017,39,0.25,0.396484
3,4,0.328125,-0.500013,115,0.173828,0.277344
3,5,0.375,-0.500013,400,0.210938,0.310547
3,6,0.421875,-0.500013,477,0.238281,0.349609
3,7,0.46875,-0.500013,216,0.263672,0.386719
3,8,0.515625,-0.500013,30,0.273438,0.4375
3,9,0.328125,-0.37501,200,0.164062,0.285156
3,10,0.375,-0.37501,669,0.1875,0.324219
3,11,0.421875,-0.37501,790,0.210938,0.365234
3,12,0.46875,-0.37501,373,0.234375,0.40625
