timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.5625,0,116,0.017578,0.5625
1,2,0.5625,0.125003,203,0.017578,0.5625
1,3,0.5625,0.250007,518,-0.017578,0.5625
1,4,0.46875,0.37501,115,0,0.46875
1,5,0.515625,0.37501,487,-0.015625,0.515625
1,6,0.5625,0.37501,720,-0.017578,0.5625
1,7,0.46875,0.500013,125,0,0.46875
1,8,0.515625,0.500013,481,0,0.515625
1,9,0.5625,0.500013,609,-0.017578,0.5625
1,10,0.46875,0.625017,39,0,0.46875
1,11,0.515625,0.625017,147,0,0.515625
1,12,0.5625,0.625017,183,-0.017578,0.5625
2,1,0.5625,0,269,-0.017578,0.5625
2,2,0.515625,0.125003,428,-0.015625,0.515625
2,3,0.5625,0.125003,1098,-0.017578,0.5625
2,4,0.515625,0.250007,799,-0.015625,0.515625
2,5,0.5625,0.250007,1612,-0.017578,0.5625
2,6,0.46875,0.37501,100,-0.015625,0.46875
2,7,0.515625,0.37501,615,-0.015625,0.515625
2,8,0.5625,0.37501,1087,-0.017578,0.5625
2,9,0.46875,0.500013,45,0.015625,0.46875
2,10,0.515625,0.500013,309,0,0.515625
2,11,0.5625,0.500013,570,0,0.5625
2,12,0.46875,0.625017,21,0.015625,0.46875
2,13,0.515625,0.625017,163,0.015625,0.515625
2,14,0.5625,0.625017,320,0,0.5625
3,1,0.5625,0,176,0.035156,0.560547
3,2,0.5625,0.125003,479,0.017578,0.5625
3,3,0.515625,0.250007,120,0.033203,0.515625
3,4,0.5625,0.250007,536,0.017578,0.5625
3,5,0.515625,0.37501,77,0.015625,0.515625
3,6,0.5625,0.37501,261,0.017578,0.5625
4,1,0.5625,0,131,0.017578,0.5625
4,2,0.5625,0.125003,249,0.017578,0.5625
4,3,0.5625,0.250007,134,0.017578,0.5625
5,1,0.5625,0,131,0.017578,0.5625
5,2,0.5625,0.125003,249,0.017578,0.5625
5,3,0.5625,0.250007,134,0.017578,0.5625
6,1,0.5625,0,242,0,0.5625
6,2,0.5625,0.125003,81,0,0.5625
6,3,0.5625,0.250007,29,-0.017578,0.5625
6,4,0.5625,-0.250007,206,0.017578,0.5625
6,5,0.5625,-0.125003,503,0,0.5625
7,1,0.5625,0,166,0,0.5625
7,2,0.5625,0.125003,170,0,0.5625
7,3,0.5625,0.250007,54,0,0.5625
7,4,0.5625,-0.250007,162,0.017578,0.5625
7,5,0.5625,-0.125003,454,0,0.5625
8,1,0.5625,0,52,0.017578,0.5625
8,2,0.5625,0.125003,122,0,0.5625
8,3,0.5625,0.250007,39,0,0.5625
8,4,0.5625,-0.250007,70,0.035156,0.560547
8,5,0.5625,-0.125003,210,0,0.5625
9,1,0.5625,0,52,0.017578,0.5625
9,2,0.5625,0.125003,122,0,0.5625
9,3,0.5625,0.250007,39,0,0.5625
9,4,0.5625,-0.250007,70,0.035156,0.560547
9,5,0.5625,-0.125003,210,0,0.5625
10,1,0.5625,0,116,0.017578,0.5625
10,2,0.5625,0.125003,127,0.017578,0.5625
10,3,0.5625,0.250007,41,0,0.5625
10,4,0.5625,-0.250007,115,0.035156,0.560547
10,5,0.5625,-0.125003,327,0.017578,0.5625
11,1,0.515625,0,70,0,0.515625
11,2,0.5625,0,219,0.017578,0.5625
11,3,0.5625,0.125003,61,0,0.5625
11,4,0.515625,-0.250007,59,0.015625,0.515625
11,5,0.5625,-0.250007,188,0.035156,0.560547
11,6,0.5625,-0.125003,449,0.017578,0.5625
12,1,0.5625,0,358,0.017578,0.5625
12,2,0.5625,0.125003,55,0.017578,0.5625
12,3,0.5625,-0.37501,72,0.035156,0.560547
12,4,0.515625,-0.250007,161,0.015625,0.515625
12,5,0.5625,-0.250007,458,0.035156,0.560547
12,6,0.5625,-0.125003,687,0.017578,0.5625
13,1,0.5625,0,70,-0.017578,0.5625
