timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0.187500,0.000000,10.000000,0.134766,0.130859
1,1,0.328125,0.250007,32.000000,-0.318359,0.082031
1,2,0.375000,0.250007,33.000000,-0.363281,0.093750
1,3,0.328125,0.375010,30.000000,-0.318359,0.082031
1,4,0.375000,0.375010,31.000000,-0.363281,0.093750
2,1,0.375000,0.125003,28.000000,-0.363281,0.093750
2,2,0.421875,0.125003,20.000000,-0.396484,0.146484
2,3,0.375000,0.250007,58.000000,-0.363281,0.093750
2,4,0.375000,0.375010,36.000000,-0.363281,0.093750
3,1,0.375000,0.125003,28.000000,-0.363281,0.093750
3,2,0.421875,0.125003,20.000000,-0.396484,0.146484
3,3,0.375000,0.250007,58.000000,-0.363281,0.093750
3,4,0.375000,0.375010,36.000000,-0.363281,0.093750
4,1,0.375000,0.000000,13.000000,-0.363281,0.093750
4,2,0.375000,-0.250007,25.000000,-0.363281,0.093750
5,1,0.375000,0.000000,13.000000,-0.363281,0.093750
5,2,0.375000,-0.250007,25.000000,-0.363281,0.093750
6,1,0.562500,-0.875023,28.000000,0.298828,0.476562
7,1,0.468750,0.125003,20.000000,-0.351562,0.310547
7,2,0.515625,0.125003,25.000000,-0.386719,0.341797
7,3,0.515625,0.250007,19.000000,-0.386719,0.341797
8,1,0.468750,0.125003,15.000000,-0.351562,0.310547
8,2,0.468750,0.125003,12.000000,-0.175781,0.435547
8,3,0.515625,0.125003,13.000000,-0.193359,0.478516
9,1,0.468750,-0.375010,14.000000,-0.205078,0.421875
9,2,0.468750,-0.250007,13.000000,-0.367188,0.292969
9,3,0.468750,-0.375010,11.000000,-0.367188,0.292969
9,4,0.468750,-0.250007,12.000000,-0.191406,0.427734
10,1,0.468750,-0.625017,13.000000,-0.191406,0.427734
10,2,0.468750,-0.375010,26.000000,-0.351562,0.310547
10,3,0.515625,-0.375010,22.000000,-0.371094,0.359375
10,4,0.468750,-0.625017,12.000000,-0.367188,0.292969
11,1,0.468750,-0.625017,14.000000,-0.367188,0.292969
11,2,0.515625,-0.625017,16.000000,-0.208984,0.470703
11,3,0.421875,-0.500013,18.000000,-0.330078,0.263672
11,4,0.468750,-0.625017,12.000000,-0.191406,0.427734
11,5,0.562500,-0.625017,10.000000,-0.228516,0.513672
12,1,0.375000,-0.625017,16.000000,-0.292969,0.234375
12,2,0.421875,-0.625017,21.000000,-0.316406,0.279297
12,3,0.375000,-0.500013,21.000000,-0.281250,0.248047
12,4,0.421875,-0.500013,36.000000,-0.302734,0.292969
12,5,0.468750,-0.500013,26.000000,-0.322266,0.339844
12,6,0.421875,-0.375010,21.000000,-0.316406,0.279297
13,1,0.375000,0.375010,21.000000,-0.257812,0.271484
13,2,0.421875,0.375010,28.000000,-0.291016,0.306641
13,3,0.468750,0.375010,20.000000,-0.337891,0.326172
13,4,0.375000,0.500013,16.000000,-0.269531,0.261719
13,5,0.421875,0.500013,21.000000,-0.316406,0.279297
13,6,0.468750,0.500013,14.000000,-0.351562,0.310547
14,1,0.375000,0.375010,23.000000,-0.257812,0.271484
14,2,0.421875,0.375010,31.000000,-0.277344,0.318359
14,3,0.468750,0.375010,18.000000,-0.292969,0.365234
14,4,0.375000,0.500013,15.000000,-0.281250,0.248047
14,5,0.421875,0.500013,22.000000,-0.302734,0.292969
14,6,0.468750,0.500013,14.000000,-0.322266,0.339844
15,1,0.375000,0.250007,29.000000,-0.292969,0.234375
15,2,0.421875,0.250007,59.000000,-0.330078,0.263672
15,3,0.468750,0.250007,52.000000,-0.367188,0.292969
15,4,0.375000,0.375010,27.000000,-0.292969,0.234375
15,5,0.421875,0.375010,53.000000,-0.330078,0.263672
15,6,0.468750,0.375010,44.000000,-0.367188,0.292969
16,1,0.375000,0.250007,29.000000,-0.292969,0.234375
16,2,0.421875,0.250007,59.000000,-0.330078,0.263672
16,3,0.468750,0.250007,52.000000,-0.367188,0.292969
16,4,0.375000,0.375010,27.000000,-0.292969,0.234375
16,5,0.421875,0.375010,53.000000,-0.330078,0.263672
16,6,0.468750,0.375010,44.000000,-0.367188,0.292969
17,1,0.468750,0.125003,27.000000,-0.351562,0.310547
17,2,0.515625,0.125003,21.000000,-0.371094,0.359375
17,3,0.515625,0.125003,15.000000,0.162109,0.490234
18,1,0.468750,0.250007,17.000000,-0.162109,0.439453
18,2,0.515625,0.250007,18.000000,-0.177734,0.484375
18,3,0.468750,0.250007,14.000000,-0.337891,0.326172
18,4,0.515625,0.250007,14.000000,-0.386719,0.341797
18,5,0.562500,0.250007,10.000000,-0.210938,0.521484
19,1,0.468750,0.000000,13.000000,-0.337891,0.326172
19,2,0.515625,0.000000,15.000000,-0.355469,0.375000
19,3,0.562500,0.000000,8.000000,-0.369141,0.423828
19,4,0.468750,0.125003,27.000000,-0.337891,0.326172
19,5,0.515625,0.125003,32.000000,-0.371094,0.359375
19,6,0.562500,0.125003,20.000000,-0.386719,0.408203
19,7,0.468750,0.250007,21.000000,-0.351562,0.310547
19,8,0.515625,0.250007,26.000000,-0.371094,0.359375
19,9,0.562500,0.250007,19.000000,-0.386719,0.408203
